Orthogroup	Blumeria_graminis.EF2.pep.all	Botrytis_cinerea.ASM83294v1.pep.all	Fusarium_mangiferae_gca_900044065.Genome_assembly_version_1.pep.all	Fusarium_oxysporum.FO2.pep.all	Golovinomyces_cichoracearum_gca_003611195.ASM361119v1.pep.all	Sclerotinia_sclerotiorum.ASM14694v1.pep.all
OG0000000		Bcin10p04510.1, Bcin16p02550.1	CVL08111, CVL09054, CVL09140, CVL09146, CVL09158, CVL09287	FOXG_06569P0, FOXG_06693P0, FOXG_07257P0, FOXG_16687P0, FOXG_16750P0	RKF56047, RKF57251, RKF71352, RKF74483	EDN90727, EDN90931, EDN90964, EDN91309, EDN91310, EDN91311, EDN91368, EDN91382, EDN91396, EDN91397, EDN91419, EDN91428, EDN91429, EDN91556, EDN91557, EDN91558, EDN91611, EDN91663, EDN92476, EDN92511, EDN92655, EDN93346, EDN93356, EDN93457, EDN93532, EDN93533, EDN93534, EDN93538, EDN93545, EDN93620, EDN93663, EDN94266, EDN94391, EDN94392, EDN94478, EDN95185, EDN95194, EDN95216, EDN95217, EDN95218, EDN95311, EDN95326, EDN95327, EDN95831, EDN95836, EDN95889, EDN95894, EDN95907, EDN95913, EDN95953, EDN96079, EDN96148, EDN96282, EDN96283, EDN96358, EDN96359, EDN96513, EDN96514, EDN96573, EDN96615, EDN96616, EDN96689, EDN96851, EDN96878, EDN97035, EDN97036, EDN97088, EDN97093, EDN97117, EDN97160, EDN97161, EDN97168, EDN97516, EDN97517, EDN97518, EDN97520, EDN97523, EDN97538, EDN97541, EDN97555, EDN97572, EDN97618, EDN97701, EDN97748, EDN98105, EDN98133, EDN98259, EDN98546, EDN98547, EDN98590, EDN98948, EDN98961, EDN98982, EDN98983, EDN99218, EDN99223, EDN99224, EDN99292, EDN99334, EDN99351, EDN99371, EDN99569, EDN99575, EDN99830, EDN99863, EDO00170, EDO00171, EDO00206, EDO00352, EDO00420, EDO00507, EDO00508, EDO00923, EDO00924, EDO00967, EDO01013, EDO01302, EDO01304, EDO01338, EDO01386, EDO01549, EDO01609, EDO01626, EDO01642, EDO01643, EDO01646, EDO02421, EDO02505, EDO02548, EDO02563, EDO02738, EDO02747, EDO02756, EDO02775, EDO02973, EDO02974, EDO02989, EDO03136, EDO03173, EDO03174, EDO03396, EDO03464, EDO03471, EDO03475, EDO03793, EDO03810, EDO03811, EDO04596, EDO04601, EDO04664, EDO04786, EDO04787, EDO04844, EDO04878, EDO04891, EDO04900, EDO04977, EDO04991
OG0000001	BLGH_00043-mRNA-1, BLGH_00047-mRNA-1, BLGH_00070-mRNA-1, BLGH_00106-mRNA-1, BLGH_00279-mRNA-1, BLGH_00280-mRNA-1, BLGH_00314-mRNA-1, BLGH_00316-mRNA-1, BLGH_00378-mRNA-1, BLGH_00379-mRNA-1, BLGH_00380-mRNA-1, BLGH_00384-mRNA-1, BLGH_00409-mRNA-1, BLGH_00421-mRNA-1, BLGH_00433-mRNA-1, BLGH_00485-mRNA-1, BLGH_00486-mRNA-1, BLGH_00487-mRNA-1, BLGH_00505-mRNA-1, BLGH_00506-mRNA-1, BLGH_00509-mRNA-1, BLGH_00510-mRNA-1, BLGH_00511-mRNA-1, BLGH_00512-mRNA-1, BLGH_00513-mRNA-1, BLGH_01240-mRNA-1, BLGH_01913-mRNA-1, BLGH_02700-mRNA-1, BLGH_02704-mRNA-1, BLGH_03101-mRNA-1, BLGH_03660-mRNA-1, BLGH_03663-mRNA-1, BLGH_03665-mRNA-1, BLGH_03666-mRNA-1, BLGH_03671-mRNA-1, BLGH_03672-mRNA-1, BLGH_03675-mRNA-1, BLGH_03676-mRNA-1, BLGH_03713-mRNA-1, BLGH_03856-mRNA-1, BLGH_03887-mRNA-1, BLGH_03899-mRNA-1, BLGH_04042-mRNA-1, BLGH_04048-mRNA-1, BLGH_04298-mRNA-1, BLGH_04304-mRNA-1, BLGH_04305-mRNA-1, BLGH_04360-mRNA-1, BLGH_04363-mRNA-1, BLGH_04369-mRNA-1, BLGH_04434-mRNA-1, BLGH_04435-mRNA-1, BLGH_04436-mRNA-1, BLGH_04590-mRNA-1, BLGH_04591-mRNA-1, BLGH_04602-mRNA-1, BLGH_04615-mRNA-1, BLGH_04630-mRNA-1, BLGH_04631-mRNA-1, BLGH_04632-mRNA-1, BLGH_04633-mRNA-1, BLGH_04634-mRNA-1, BLGH_04713-mRNA-1, BLGH_04714-mRNA-1, BLGH_04715-mRNA-1, BLGH_04716-mRNA-1, BLGH_04717-mRNA-1, BLGH_04718-mRNA-1, BLGH_04719-mRNA-1, BLGH_04720-mRNA-1, BLGH_04721-mRNA-1, BLGH_04722-mRNA-1, BLGH_04726-mRNA-1, BLGH_04727-mRNA-1, BLGH_04729-mRNA-1, BLGH_04730-mRNA-1, BLGH_05595-mRNA-1, BLGH_05612-mRNA-1, BLGH_05617-mRNA-1, BLGH_05620-mRNA-1, BLGH_05638-mRNA-1, BLGH_05639-mRNA-1, BLGH_05681-mRNA-1, BLGH_05702-mRNA-1, BLGH_05718-mRNA-1, BLGH_05781-mRNA-1, BLGH_06015-mRNA-1, BLGH_06043-mRNA-1, BLGH_06045-mRNA-1, BLGH_06050-mRNA-1, BLGH_06069-mRNA-1, BLGH_06082-mRNA-1, BLGH_06084-mRNA-1, BLGH_06105-mRNA-1, BLGH_06143-mRNA-1, BLGH_06144-mRNA-1, BLGH_06334-mRNA-1, BLGH_06344-mRNA-1, BLGH_06372-mRNA-1, BLGH_06373-mRNA-1, BLGH_06378-mRNA-1, BLGH_06379-mRNA-1, BLGH_06380-mRNA-1, BLGH_06381-mRNA-1, BLGH_06387-mRNA-1, BLGH_06388-mRNA-1, BLGH_06392-mRNA-1, BLGH_06412-mRNA-1, BLGH_06425-mRNA-1, BLGH_06524-mRNA-1, BLGH_06587-mRNA-1, BLGH_06591-mRNA-1, BLGH_06593-mRNA-1, BLGH_06599-mRNA-1, BLGH_06603-mRNA-1, BLGH_06721-mRNA-1, BLGH_06892-mRNA-1, BLGH_07063-mRNA-1, BLGH_07114-mRNA-1				RKF65747	
OG0000002			CVL09364	FOXG_04020P0, FOXG_04643P0, FOXG_06497P0, FOXG_06498P0, FOXG_06519P0, FOXG_06535P0, FOXG_06536P0, FOXG_06545P0, FOXG_06553P0, FOXG_06650P0, FOXG_06709P0, FOXG_06721P0, FOXG_06731P0, FOXG_06732P0, FOXG_06745P0, FOXG_06764P0, FOXG_06765P0, FOXG_06816P0, FOXG_06824P0, FOXG_06837P0, FOXG_06843P0, FOXG_06844P0, FOXG_06845P0, FOXG_06876P0, FOXG_06950P0, FOXG_06988P0, FOXG_07009P0, FOXG_07011P0, FOXG_07037P0, FOXG_07047P0, FOXG_07088P0, FOXG_07090P0, FOXG_07106P0, FOXG_07115P0, FOXG_07121P0, FOXG_07155P0, FOXG_07273P0, FOXG_07281P0, FOXG_07289P0, FOXG_07290P0, FOXG_07305P0, FOXG_07326P0, FOXG_07327P0, FOXG_07453P0, FOXG_07480P0, FOXG_08825P0, FOXG_09996P0, FOXG_11909P0, FOXG_12403P0, FOXG_12540P0, FOXG_12590P0, FOXG_12978P0, FOXG_14133P0, FOXG_14139P0, FOXG_14263P0, FOXG_14291P0, FOXG_14300P0, FOXG_14398P0, FOXG_14416P0, FOXG_14437P0, FOXG_14475P0, FOXG_14806P0, FOXG_14855P0, FOXG_14933P0, FOXG_14974P0, FOXG_15005P0, FOXG_15044P0, FOXG_15065P0, FOXG_15082P0, FOXG_15545P0, FOXG_15599P0, FOXG_15865P0, FOXG_15882P0, FOXG_16003P0, FOXG_16134P0, FOXG_16167P0, FOXG_16168P0, FOXG_16174P0, FOXG_16187P0, FOXG_16193P0, FOXG_16206P0, FOXG_16212P0, FOXG_16213P0, FOXG_16244P0, FOXG_16313P0, FOXG_16314P0, FOXG_16331P0, FOXG_16352P0, FOXG_16353P0, FOXG_16412P0, FOXG_16422P0, FOXG_16693P0, FOXG_16694P0, FOXG_16758P0, FOXG_16759P0, FOXG_17275P0, FOXG_17277P0, FOXG_17311P0, FOXG_17468P0, FOXG_17651P0	RKF79607	
OG0000003					RKF47194, RKF51436, RKF51437, RKF53768, RKF53786, RKF54314, RKF54364, RKF54421, RKF54438, RKF54511, RKF54663, RKF54664, RKF55086, RKF55166, RKF56952, RKF57316, RKF57320, RKF57333, RKF57353, RKF57589, RKF57595, RKF57890, RKF58052, RKF58406, RKF59102, RKF62108, RKF62322, RKF62515, RKF62720, RKF64201, RKF64337, RKF65529, RKF65794, RKF65796, RKF71305, RKF71501, RKF72000, RKF73131, RKF74119, RKF74121, RKF74122, RKF74554, RKF74555, RKF75277, RKF75419, RKF75485, RKF75490, RKF75491, RKF75494, RKF75855, RKF76571, RKF76572, RKF76573, RKF77018, RKF77621, RKF77649, RKF78025, RKF79045, RKF79601, RKF79612, RKF80180, RKF80421, RKF80423, RKF81035, RKF81483, RKF81708, RKF81997, RKF82172, RKF82173, RKF82753, RKF82754, RKF82924, RKF82925, RKF83057, RKF83236, RKF83241, RKF83292, RKF83508, RKF83769, RKF83775, RKF83829, RKF83830, RKF83902, RKF83903, RKF83914, RKF84059, RKF84084	
OG0000004	BLGH_00718-mRNA-1, BLGH_01055-mRNA-1, BLGH_01632-mRNA-1, BLGH_01633-mRNA-1, BLGH_01813-mRNA-1, BLGH_01841-mRNA-1, BLGH_01998-mRNA-1, BLGH_02550-mRNA-1, BLGH_02664-mRNA-1, BLGH_02696-mRNA-1, BLGH_02697-mRNA-1, BLGH_02701-mRNA-1, BLGH_02726-mRNA-1, BLGH_03130-mRNA-1, BLGH_03409-mRNA-1, BLGH_04337-mRNA-1, BLGH_04580-mRNA-1, BLGH_04581-mRNA-1, BLGH_04588-mRNA-1, BLGH_04766-mRNA-1, BLGH_04816-mRNA-1, BLGH_04823-mRNA-1, BLGH_05184-mRNA-1, BLGH_05233-mRNA-1, BLGH_05234-mRNA-1, BLGH_05244-mRNA-1, BLGH_05319-mRNA-1, BLGH_05320-mRNA-1, BLGH_05329-mRNA-1, BLGH_05330-mRNA-1, BLGH_05404-mRNA-1, BLGH_05510-mRNA-1, BLGH_05590-mRNA-1, BLGH_05593-mRNA-1, BLGH_05694-mRNA-1, BLGH_05711-mRNA-1, BLGH_05947-mRNA-1, BLGH_06083-mRNA-1, BLGH_06134-mRNA-1, BLGH_06426-mRNA-1, BLGH_06488-mRNA-1, BLGH_06493-mRNA-1, BLGH_06497-mRNA-1, BLGH_06500-mRNA-1, BLGH_06526-mRNA-1, BLGH_06565-mRNA-1, BLGH_06566-mRNA-1, BLGH_06567-mRNA-1, BLGH_06570-mRNA-1, BLGH_06571-mRNA-1, BLGH_06572-mRNA-1, BLGH_06573-mRNA-1, BLGH_06574-mRNA-1, BLGH_06575-mRNA-1, BLGH_06937-mRNA-1, BLGH_07054-mRNA-1, BLGH_07057-mRNA-1, BLGH_07058-mRNA-1, BLGH_07071-mRNA-1, BLGH_07074-mRNA-1, BLGH_07075-mRNA-1, BLGH_07090-mRNA-1, BLGH_07094-mRNA-1, BLGH_07095-mRNA-1, BLGH_07102-mRNA-1, BLGH_07104-mRNA-1, BLGH_07105-mRNA-1, BLGH_07106-mRNA-1, BLGH_07107-mRNA-1, BLGH_07111-mRNA-1, BLGH_07113-mRNA-1					
OG0000005	BLGH_00929-mRNA-1, BLGH_03437-mRNA-1, BLGH_03440-mRNA-1, BLGH_04012-mRNA-1, BLGH_05632-mRNA-1, BLGH_05835-mRNA-1, BLGH_05851-mRNA-1, BLGH_05855-mRNA-1, BLGH_06950-mRNA-1, BLGH_06954-mRNA-1	Bcin02p01650.1, Bcin04p06410.1, Bcin12p03830.1	CVK84979, CVK85113, CVK85853, CVK86464, CVK91180, CVK91991, CVK92119, CVK93797, CVK95817, CVK97933, CVK98610, CVK98620, CVK98919, CVL00473, CVL00738, CVL01817, CVL02244, CVL02481, CVL02506, CVL02507, CVL02591, CVL05841, CVL06990, CVL07479, CVL08081	FOXG_02770P0, FOXG_02997P0, FOXG_03859P0, FOXG_03875P0, FOXG_04866P0, FOXG_06040P0, FOXG_08943P0, FOXG_09915P0, FOXG_10467P0, FOXG_10778P0, FOXG_10938P0, FOXG_12672P0, FOXG_12965P0, FOXG_13215P0, FOXG_15690P0, FOXG_17374P0	RKF56976, RKF59554, RKF77006	EDN92535, EDN96874
OG0000006	BLGH_04297-mRNA-1	Bcin06p00160.1, Bcin06p07480.1, Bcin09p05490.1, Bcin14p05490.1	CVK86264, CVK86564, CVK91117, CVK91195, CVK93533, CVK95224, CVK95370, CVK95567, CVK95845, CVK96726, CVK97471, CVK97664, CVK98649, CVK98896, CVL00851, CVL02053, CVL03923, CVL05343, CVL05499, CVL06338, CVL06652, CVL06768, CVL06773, CVL08133, CVL08813, CVL08917, CVL09271	FOXG_03053P0, FOXG_03764P0, FOXG_04096P0, FOXG_07060P0, FOXG_09192P0, FOXG_09568P0, FOXG_09651P0, FOXG_09758P0, FOXG_09947P0, FOXG_10681P0, FOXG_10765P0, FOXG_12160P0, FOXG_12867P0, FOXG_13437P0, FOXG_13477P0, FOXG_13538P0, FOXG_14515P0, FOXG_14580P0, FOXG_14585P0, FOXG_15264P0, FOXG_15698P0, FOXG_15827P0, FOXG_16839P0	RKF60529	EDN93426, EDO00132, EDO03018
OG0000007	BLGH_00644-mRNA-1, BLGH_01578-mRNA-1, BLGH_01582-mRNA-1, BLGH_01586-mRNA-1, BLGH_01751-mRNA-1, BLGH_01880-mRNA-1, BLGH_01881-mRNA-1, BLGH_01882-mRNA-1, BLGH_01908-mRNA-1, BLGH_01911-mRNA-1, BLGH_01915-mRNA-1, BLGH_01916-mRNA-1, BLGH_01918-mRNA-1, BLGH_01919-mRNA-1, BLGH_01920-mRNA-1, BLGH_01924-mRNA-1, BLGH_01926-mRNA-1, BLGH_01942-mRNA-1, BLGH_01950-mRNA-1, BLGH_02001-mRNA-1, BLGH_02587-mRNA-1, BLGH_02589-mRNA-1, BLGH_02591-mRNA-1, BLGH_02593-mRNA-1, BLGH_02594-mRNA-1, BLGH_02596-mRNA-1, BLGH_02602-mRNA-1, BLGH_02609-mRNA-1, BLGH_02612-mRNA-1, BLGH_02614-mRNA-1, BLGH_02619-mRNA-1, BLGH_02620-mRNA-1, BLGH_02621-mRNA-1, BLGH_02623-mRNA-1, BLGH_02626-mRNA-1, BLGH_03161-mRNA-1, BLGH_03162-mRNA-1, BLGH_03163-mRNA-1, BLGH_03219-mRNA-1, BLGH_03248-mRNA-1, BLGH_06399-mRNA-1, BLGH_06400-mRNA-1, BLGH_06402-mRNA-1, BLGH_06403-mRNA-1, BLGH_06404-mRNA-1, BLGH_06407-mRNA-1, BLGH_06408-mRNA-1, BLGH_06480-mRNA-1, BLGH_06801-mRNA-1, BLGH_06886-mRNA-1, BLGH_06966-mRNA-1, BLGH_07031-mRNA-1, BLGH_07032-mRNA-1, BLGH_07093-mRNA-1, BLGH_07097-mRNA-1, BLGH_07108-mRNA-1, BLGH_07115-mRNA-1					
OG0000008	BLGH_00697-mRNA-1, BLGH_00698-mRNA-1, BLGH_00700-mRNA-1, BLGH_00708-mRNA-1, BLGH_00709-mRNA-1, BLGH_01226-mRNA-1, BLGH_03260-mRNA-1, BLGH_03262-mRNA-1, BLGH_03265-mRNA-1, BLGH_03269-mRNA-1, BLGH_04763-mRNA-1, BLGH_04764-mRNA-1, BLGH_04765-mRNA-1, BLGH_05394-mRNA-1, BLGH_05397-mRNA-1, BLGH_05403-mRNA-1, BLGH_05875-mRNA-1, BLGH_05876-mRNA-1, BLGH_05877-mRNA-1, BLGH_05881-mRNA-1, BLGH_05882-mRNA-1, BLGH_06351-mRNA-1, BLGH_06352-mRNA-1, BLGH_06353-mRNA-1, BLGH_06354-mRNA-1, BLGH_06475-mRNA-1, BLGH_06671-mRNA-1, BLGH_06672-mRNA-1, BLGH_06673-mRNA-1, BLGH_06689-mRNA-1, BLGH_06960-mRNA-1, BLGH_06961-mRNA-1, BLGH_06962-mRNA-1, BLGH_06963-mRNA-1, BLGH_06991-mRNA-1, BLGH_06996-mRNA-1, BLGH_06997-mRNA-1, BLGH_06998-mRNA-1, BLGH_07001-mRNA-1, BLGH_07004-mRNA-1, BLGH_07005-mRNA-1, BLGH_07006-mRNA-1, BLGH_07045-mRNA-1, BLGH_07046-mRNA-1, BLGH_07047-mRNA-1, BLGH_07048-mRNA-1, BLGH_07049-mRNA-1, BLGH_07066-mRNA-1, BLGH_07068-mRNA-1, BLGH_07084-mRNA-1, BLGH_07085-mRNA-1, BLGH_07086-mRNA-1, BLGH_07087-mRNA-1, BLGH_07091-mRNA-1, BLGH_07092-mRNA-1, BLGH_07110-mRNA-1					
